Diện tích đất nông nghiệp (ha),18666.53
Mã huyện,886
Mã tỉnh,89
Tên huyện,H. An PHú
Tên tỉnh,An Giang
Diện tích đất tự nhiên (ha),22617.09
Tổng dân số,179665
Mật độ dân số (n/km2),794
Dân số thành thị (1000 n),23.645
Dân số nông thôn (1000 n),156
Diện tích đất lâm nghiệp (ha),0
Diện tích cây lương thực (ha),38248
Diện tích cây lâu năm (ha),555
Diện tích lúa (ha),34563
Diện tích ngô (ha),3685
Diện tích khoai lang (ha),0
Diện tích lạc (ha),589
Diện tích dừa (ha),233
Diện tích đậu tương (ha),32
Năng suất lúa (tạ/ha),62.47
Năng suất ngô (tạ/ha),101
Năng suất khoai lang (tạ/ha),0
Năng suất lạc (tạ/ha),32.2
Năng suất dừa (tạ/ha),293.083
Năng suất đậu tương (tạ/ha),21.9
Giá trị SX nông nghiệp (triệu đ),1982155
Giá trị SX lâm nghiệp (triệu đ),9523
Giá trí SX thủy sản (triệu đ),473025
Tổng đàn trâu,675
Tổng đàn bò,2647
Tổng đàn lợn,4295
Tổng đàn gia cầm,259000
Số trang trại,27
